parameter,minconfidence,maxconfidence
47.0,37.21,58.81
57.0,46.07,69.96000000000001
55.0,44.29,67.74000000000001
66.0,54.13,79.9
49.0,38.97,61.05
49.0,38.97,61.05
49.0,38.97,61.05
46.0,36.32,57.69
64.0,52.339999999999996,77.7
43.0,33.69,54.32
56.0,45.18,68.85000000000001
54.0,43.4,66.62
44.0,34.57,55.44
48.0,38.089999999999996,59.93
51.0,40.74,63.28
54.0,43.4,66.62
42.0,32.82,53.19
52.0,41.629999999999995,64.4
44.0,34.57,55.44
47.0,37.21,58.81
55.0,44.29,67.74000000000001
43.0,33.69,54.32
46.0,36.32,57.69
57.0,46.07,69.96000000000001
42.0,32.82,53.19
43.0,33.69,54.32
37.0,28.46,47.54
60.0,48.75,73.28
44.0,34.57,55.44
44.0,34.57,55.44
44.0,34.57,55.44
40.0,31.070000000000004,50.93
39.0,30.200000000000003,49.8
54.0,43.4,66.62
56.0,45.18,68.85000000000001
44.0,34.57,55.44
46.0,36.32,57.69
45.0,35.449999999999996,56.57
50.0,39.85,62.17
52.0,41.629999999999995,64.4
65.0,53.23,78.80000000000001
56.0,45.18,68.85000000000001
44.0,34.57,55.44
40.0,31.070000000000004,50.93
47.0,37.21,58.81
50.0,39.85,62.17
45.0,35.449999999999996,56.57
61.0,49.65,74.38000000000001
32.0,24.160000000000004,41.83
47.0,37.21,58.81
58.0,46.96,71.06
52.0,41.629999999999995,64.4
56.0,45.18,68.85000000000001
46.0,36.32,57.69
55.0,44.29,67.74000000000001
40.0,31.070000000000004,50.93
53.0,42.51,65.51
54.0,43.4,66.62
50.0,39.85,62.17
58.0,46.96,71.06
36.0,27.6,46.4
38.0,29.330000000000002,48.67
46.0,36.32,57.69
47.0,37.21,58.81
50.0,39.85,62.17
40.0,31.070000000000004,50.93
53.0,42.51,65.51
49.0,38.97,61.05
44.0,34.57,55.44
51.0,40.74,63.28
53.0,42.51,65.51
62.0,50.54,75.49000000000001
53.0,42.51,65.51
60.0,48.75,73.28
47.0,37.21,58.81
54.0,43.4,66.62
53.0,42.51,65.51
50.0,39.85,62.17
57.0,46.07,69.96000000000001
42.0,32.82,53.19
53.0,42.51,65.51
43.0,33.69,54.32
45.0,35.449999999999996,56.57
40.0,31.070000000000004,50.93
42.0,32.82,53.19
56.0,45.18,68.85000000000001
56.0,45.18,68.85000000000001
55.0,44.29,67.74000000000001
60.0,48.75,73.28
48.0,38.089999999999996,59.93
43.0,33.69,54.32
47.0,37.21,58.81
51.0,40.74,63.28
60.0,48.75,73.28
59.0,47.86,72.17
59.0,47.86,72.17
40.0,31.070000000000004,50.93
35.0,26.740000000000002,45.26
50.0,39.85,62.17
45.0,35.449999999999996,56.57
57.0,46.07,69.96000000000001
57.0,46.07,69.96000000000001
43.0,33.69,54.32
45.0,35.449999999999996,56.57
54.0,43.4,66.62
38.0,29.330000000000002,48.67
63.0,51.44,76.59
53.0,42.51,65.51
45.0,35.449999999999996,56.57
55.0,44.29,67.74000000000001
66.0,54.13,79.9
56.0,45.18,68.85000000000001
42.0,32.82,53.19
44.0,34.57,55.44
58.0,46.96,71.06
58.0,46.96,71.06
51.0,40.74,63.28
56.0,45.18,68.85000000000001
52.0,41.629999999999995,64.4
56.0,45.18,68.85000000000001
46.0,36.32,57.69
49.0,38.97,61.05
43.0,33.69,54.32
47.0,37.21,58.81
48.0,38.089999999999996,59.93
55.0,44.29,67.74000000000001
49.0,38.97,61.05
44.0,34.57,55.44
45.0,35.449999999999996,56.57
58.0,46.96,71.06
53.0,42.51,65.51
45.0,35.449999999999996,56.57
54.0,43.4,66.62
61.0,49.65,74.38000000000001
48.0,38.089999999999996,59.93
47.0,37.21,58.81
40.0,31.070000000000004,50.93
44.0,34.57,55.44
59.0,47.86,72.17
56.0,45.18,68.85000000000001
39.0,30.200000000000003,49.8
56.0,45.18,68.85000000000001
51.0,40.74,63.28
52.0,41.629999999999995,64.4
42.0,32.82,53.19
51.0,40.74,63.28
48.0,38.089999999999996,59.93
46.0,36.32,57.69
36.0,27.6,46.4
51.0,40.74,63.28
48.0,38.089999999999996,59.93
40.0,31.070000000000004,50.93
60.0,48.75,73.28
54.0,43.4,66.62
44.0,34.57,55.44
64.0,52.339999999999996,77.7
44.0,34.57,55.44
49.0,38.97,61.05
52.0,41.629999999999995,64.4
67.0,55.03,81.0
55.0,44.29,67.74000000000001
52.0,41.629999999999995,64.4
50.0,39.85,62.17
53.0,42.51,65.51
46.0,36.32,57.69
43.0,33.69,54.32
61.0,49.65,74.38000000000001
43.0,33.69,54.32
62.0,50.54,75.49000000000001
52.0,41.629999999999995,64.4
65.0,53.23,78.80000000000001
61.0,49.65,74.38000000000001
52.0,41.629999999999995,64.4
41.0,31.94,52.06
57.0,46.07,69.96000000000001
50.0,39.85,62.17
50.0,39.85,62.17
54.0,43.4,66.62
44.0,34.57,55.44
41.0,31.94,52.06
57.0,46.07,69.96000000000001
47.0,37.21,58.81
55.0,44.29,67.74000000000001
60.0,48.75,73.28
49.0,38.97,61.05
50.0,39.85,62.17
70.0,57.74,84.30000000000001
48.0,38.089999999999996,59.93
56.0,45.18,68.85000000000001
56.0,45.18,68.85000000000001
47.0,37.21,58.81
61.0,49.65,74.38000000000001
45.0,35.449999999999996,56.57
62.0,50.54,75.49000000000001
55.0,44.29,67.74000000000001
49.0,38.97,61.05
42.0,32.82,53.19
46.0,36.32,57.69
46.0,36.32,57.69
45.0,35.449999999999996,56.57
62.0,50.54,75.49000000000001
51.0,40.74,63.28
55.0,44.29,67.74000000000001
45.0,35.449999999999996,56.57
51.0,40.74,63.28
55.0,44.29,67.74000000000001
45.0,35.449999999999996,56.57
40.0,31.070000000000004,50.93
45.0,35.449999999999996,56.57
46.0,36.32,57.69
36.0,27.6,46.4
43.0,33.69,54.32
53.0,42.51,65.51
57.0,46.07,69.96000000000001
44.0,34.57,55.44
61.0,49.65,74.38000000000001
56.0,45.18,68.85000000000001
50.0,39.85,62.17
46.0,36.32,57.69
48.0,38.089999999999996,59.93
41.0,31.94,52.06
41.0,31.94,52.06
54.0,43.4,66.62
44.0,34.57,55.44
55.0,44.29,67.74000000000001
53.0,42.51,65.51
52.0,41.629999999999995,64.4
49.0,38.97,61.05
45.0,35.449999999999996,56.57
38.0,29.330000000000002,48.67
57.0,46.07,69.96000000000001
47.0,37.21,58.81
46.0,36.32,57.69
36.0,27.6,46.4
53.0,42.51,65.51
54.0,43.4,66.62
50.0,39.85,62.17
47.0,37.21,58.81
47.0,37.21,58.81
49.0,38.97,61.05
51.0,40.74,63.28
44.0,34.57,55.44
56.0,45.18,68.85000000000001
47.0,37.21,58.81
42.0,32.82,53.19
59.0,47.86,72.17
53.0,42.51,65.51
52.0,41.629999999999995,64.4
53.0,42.51,65.51
37.0,28.46,47.54
45.0,35.449999999999996,56.57
52.0,41.629999999999995,64.4
36.0,27.6,46.4
54.0,43.4,66.62
46.0,36.32,57.69
51.0,40.74,63.28
49.0,38.97,61.05
39.0,30.200000000000003,49.8
57.0,46.07,69.96000000000001
50.0,39.85,62.17
52.0,41.629999999999995,64.4
48.0,38.089999999999996,59.93
50.0,39.85,62.17
57.0,46.07,69.96000000000001
57.0,46.07,69.96000000000001
49.0,38.97,61.05
38.0,29.330000000000002,48.67
51.0,40.74,63.28
45.0,35.449999999999996,56.57
51.0,40.74,63.28
46.0,36.32,57.69
51.0,40.74,63.28
56.0,45.18,68.85000000000001
43.0,33.69,54.32
47.0,37.21,58.81
55.0,44.29,67.74000000000001
44.0,34.57,55.44
45.0,35.449999999999996,56.57
42.0,32.82,53.19
48.0,38.089999999999996,59.93
40.0,31.070000000000004,50.93
55.0,44.29,67.74000000000001
45.0,35.449999999999996,56.57
50.0,39.85,62.17
65.0,53.23,78.80000000000001
46.0,36.32,57.69
45.0,35.449999999999996,56.57
46.0,36.32,57.69
60.0,48.75,73.28
52.0,41.629999999999995,64.4
49.0,38.97,61.05
54.0,43.4,66.62
36.0,27.6,46.4
54.0,43.4,66.62
51.0,40.74,63.28
39.0,30.200000000000003,49.8
56.0,45.18,68.85000000000001
41.0,31.94,52.06
53.0,42.51,65.51
55.0,44.29,67.74000000000001
51.0,40.74,63.28
54.0,43.4,66.62
53.0,42.51,65.51
57.0,46.07,69.96000000000001
39.0,30.200000000000003,49.8
48.0,38.089999999999996,59.93
61.0,49.65,74.38000000000001
50.0,39.85,62.17
48.0,38.089999999999996,59.93
48.0,38.089999999999996,59.93
52.0,41.629999999999995,64.4
39.0,30.200000000000003,49.8
54.0,43.4,66.62
52.0,41.629999999999995,64.4
48.0,38.089999999999996,59.93
